timestamp, ax(m/s^2), ay(m/s^2), omega_z(rad/s)
1703098104074221824,0.161931,10.291135,0.502292
1703098104090931200,0.008019,10.262923,0.505502
1703098104099140608,-0.081393,10.272074,0.506890
1703098104107584256,-0.151164,10.269723,0.508263
1703098104115772416,-0.198087,10.342379,0.510236
1703098104124225024,-0.299901,10.340377,0.509948
1703098104132421632,-0.367510,10.319760,0.513489
1703098104140938240,-0.452013,10.356811,0.514187
1703098104149050112,-0.491187,10.358995,0.515782
1703098104157552640,-0.549423,10.407137,0.516389
1703098104165797376,-0.656478,10.398258,0.516752
1703098104174202880,-0.638485,10.438455,0.519129
1703098104182463744,-0.703695,10.439125,0.518880
1703098104190881792,-0.760272,10.464032,0.520971
1703098104199177728,-0.821543,10.489665,0.520198
1703098104207505664,-0.824336,10.502906,0.522886
1703098104215763456,-0.938372,10.532160,0.524615
1703098104224200192,-0.982057,10.530451,0.524203
1703098104232551680,-1.005672,10.563748,0.524985
1703098104240784896,-1.023091,10.606814,0.526839
1703098104249250816,-1.064724,10.587703,0.527516
1703098104257480192,-1.131062,10.589508,0.529012
1703098104265910784,-1.128517,10.627390,0.527920
1703098104274102272,-1.166933,10.599992,0.529757
1703098104282705408,-1.189608,10.685408,0.528689
1703098104299195392,-1.236308,10.658751,0.529811
1703098104315878144,-1.292372,10.722044,0.531812
1703098104324079872,-1.288318,10.742842,0.531588
1703098104332577024,-1.301453,10.720036,0.531972
1703098104340727552,-1.317665,10.780048,0.534069
1703098104349185024,-1.339125,10.780014,0.532383
1703098104357425408,-1.298271,10.743569,0.535364
1703098104365831680,-1.345370,10.752845,0.533223
1703098104374054400,-1.320522,10.809747,0.533259
1703098104382517760,-1.307846,10.865051,0.534690
1703098104390767360,-1.222976,10.826880,0.534524
1703098104399163648,-1.234925,10.866210,0.534017
1703098104407555840,-1.203920,10.860686,0.534811
1703098104415788544,-1.130669,10.891581,0.535855
1703098104424231680,-1.065442,10.931795,0.535267
1703098104432425472,-0.931685,10.890044,0.535107
1703098104440904448,-0.779075,10.939562,0.536421
1703098104449231616,-0.689869,10.951398,0.535675
1703098104457527808,-0.667917,10.989794,0.536282
1703098104465780224,-0.671126,10.913598,0.536032
1703098104474252800,-0.562956,10.951040,0.536122
1703098104482438912,-0.594580,10.966921,0.536663
1703098104490914816,-0.580793,10.981139,0.536328
1703098104499062272,-0.516445,10.990553,0.535749
1703098104507597568,-0.527366,10.933898,0.535200
1703098104532414976,-0.550338,10.927619,0.534353
1703098104540896000,-0.524351,10.967913,0.535025
1703098104549089536,-0.601142,11.018352,0.536437
1703098104557513728,-0.550834,11.010892,0.535556
1703098104565740032,-0.536711,10.987403,0.533556
1703098104574153728,-0.502994,10.969281,0.532991
1703098104582466816,-1.726284,10.809216,0.532788
1703098104590972416,-2.036274,10.838587,0.529669
1703098104599161856,-2.054746,10.789933,0.530216
1703098104607531008,-2.010365,10.786808,0.530102
1703098104615908608,-1.949582,10.869707,0.529459
1703098104624152320,-1.897821,10.844705,0.527856
1703098104632552960,-1.792003,10.873562,0.529522
1703098104640768000,-1.692402,10.865941,0.528269
1703098104649240320,-1.622410,10.896406,0.528053
1703098104657483520,-1.538426,10.914768,0.530449
1703098104674117888,-1.398477,10.907708,0.530846
1703098104682653952,-1.350810,10.932870,0.529303
1703098104690735872,-1.275122,10.936080,0.531232
1703098104699308288,-1.126223,10.957836,0.531246
1703098104707422720,-1.087551,10.927339,0.529713
1703098104715860736,-1.053968,10.939874,0.529764
1703098104724071168,-0.954726,10.931004,0.532865
1703098104732548608,-0.850375,10.929216,0.531035
1703098104740784128,-0.817139,10.947650,0.531994
1703098104749189376,-0.790927,10.966576,0.531389
1703098104757409792,-0.720387,10.875679,0.529437
1703098104765831680,-0.618441,10.911827,0.529939
1703098104774067456,-0.575283,10.898144,0.530078
1703098104782516992,-0.559561,10.872444,0.530877
1703098104790755584,-0.460911,10.852030,0.530982
1703098104799190528,-0.379066,10.906268,0.530112
1703098104807501056,-0.383299,10.882666,0.528429
1703098104815785216,-0.323401,10.874410,0.528216
1703098104824219136,-0.249416,10.891364,0.527577
1703098104832475904,-0.193873,10.789308,0.527782
1703098104840941824,-0.171471,10.840489,0.526944
1703098104849188608,-0.104117,10.852374,0.526823
1703098104857509376,-0.036056,10.832972,0.526974
1703098104865847040,-0.072342,10.823582,0.526666
1703098104874251520,0.011315,10.802173,0.523525
1703098104890998016,0.080398,10.765038,0.523567
1703098104899100672,0.123253,10.737347,0.523732
1703098104907615488,0.205457,10.728287,0.525138
1703098104915740416,0.194138,10.759802,0.522448
1703098104924193024,0.309938,10.727344,0.523629
1703098104940923648,0.343547,10.682094,0.521125
1703098104957545472,0.384573,10.671705,0.519487
1703098104965741312,0.396696,10.705755,0.519310
1703098104974219264,0.406774,10.655155,0.519144
1703098104982437888,0.430179,10.615180,0.518612
1703098104990941952,0.517289,10.648060,0.517795
1703098105007537408,0.519744,10.597404,0.517996
1703098105015988480,0.547330,10.554839,0.515979
1703098105024126464,0.600668,10.592410,0.516143
1703098105032557824,0.583463,10.563479,0.515022
1703098105040818688,0.632866,10.543429,0.514906
1703098105049166848,0.665560,10.539186,0.514090
1703098105057507840,0.640470,10.486291,0.513300
1703098105065956608,0.726628,10.513051,0.515556
1703098105074121472,0.657566,10.496657,0.512824
1703098105082707712,0.714459,10.497383,0.513528
1703098105099178496,0.815575,10.467640,0.511608
1703098105107426560,0.781711,10.438790,0.510325
1703098105115990528,0.840267,10.421593,0.511088
1703098105124072960,0.831525,10.441543,0.510597
1703098105140772608,0.832361,10.402601,0.509034
1703098105157406976,0.943120,10.371400,0.509617
1703098105165841664,0.854304,10.411305,0.508148
1703098105174060544,0.945736,10.367152,0.508128
1703098105182548736,0.939124,10.340349,0.506564
1703098105190817536,0.949099,10.358945,0.506900
1703098105199132160,1.005695,10.297029,0.507319
1703098105207525376,0.969831,10.332764,0.507070
1703098105215815936,1.030616,10.315137,0.505336
1703098105224189184,0.980154,10.257424,0.507851
1703098105232507136,1.025896,10.244048,0.504359
1703098105240871168,1.043576,10.240657,0.504736
1703098105249143040,1.032555,10.292559,0.504263
1703098105257659648,1.074137,10.295019,0.504972
1703098105265801472,1.097096,10.293869,0.504771
1703098105274314752,1.131621,10.202388,0.503184
1703098105282436608,1.111138,10.250481,0.504280
1703098105290961152,1.141301,10.203111,0.503556
1703098105299102464,1.092020,10.232827,0.504016
1703098105307553024,1.127268,10.219085,0.503816
1703098105315819008,1.186658,10.175537,0.502195
1703098105324194048,1.215738,10.151323,0.502921
1703098105332433408,1.179064,10.191203,0.501383
1703098105349084416,1.232280,10.139004,0.502484
1703098105357538816,1.216869,10.144339,0.503472
1703098105365740288,1.243828,10.098260,0.502419
1703098105374177024,1.235264,10.165028,0.501890
1703098105390821376,1.257702,10.147371,0.499773
1703098105399148800,1.270800,10.127556,0.502301
1703098105407493120,1.253013,10.127409,0.501404
1703098105424110080,1.304908,10.126989,0.501991
1703098105432527872,1.251210,10.086646,0.500502
1703098105440783872,1.315792,10.094639,0.499549
1703098105449303552,1.322705,10.132579,0.500504
1703098105457527296,1.280375,10.125934,0.500857
1703098105465876992,1.323429,10.121620,0.500309
1703098105474145536,1.338148,10.057085,0.499080
1703098105482680576,1.312237,10.082981,0.500085
1703098105490854144,1.352435,10.106709,0.499083
1703098105499200256,1.386312,10.120550,0.500385
1703098105507505152,1.350062,10.061515,0.498105
1703098105532587776,1.352142,10.077873,0.496627
1703098105549282560,1.394841,10.057797,0.498283
1703098105565892096,1.401835,10.031414,0.498606
1703098105574066688,1.459441,10.068492,0.498583
1703098105582537984,1.384846,10.067358,0.497274
1703098105591012096,1.383084,10.045545,0.498139
1703098105599148288,1.407954,10.058022,0.497684
1703098105607625984,1.447517,10.061675,0.497687
1703098105615802112,1.417857,10.005488,0.497429
1703098105624222976,1.451633,10.043962,0.497335
1703098105632477696,1.473318,10.040223,0.496510
1703098105641024000,1.489148,10.027147,0.496847
1703098105649162496,1.477670,10.056251,0.498461
1703098105657642240,1.458326,10.068602,0.497889
1703098105665817600,1.462548,10.041466,0.496564
1703098105674404096,1.490272,10.124109,0.497225
1703098105682424832,1.450789,10.001646,0.498865
1703098105690979840,1.472297,10.049075,0.497417
1703098105699094272,1.521409,10.114109,0.498214
1703098105707586560,1.456121,10.004879,0.496573
1703098105715751168,1.519664,10.077773,0.496953
1703098105724240896,1.563133,10.050398,0.498776
1703098105732426240,1.534318,10.066782,0.497253
1703098105740889600,1.526242,10.041042,0.498514
1703098105749089280,1.527401,10.067429,0.497300
1703098105765756672,1.526904,10.049434,0.495609
1703098105782446080,1.517601,10.076649,0.497340
1703098105790892288,1.566239,10.048467,0.497259
1703098105799180800,1.531913,10.079570,0.496766
1703098105807484416,1.536763,10.072484,0.497041
1703098105815892992,1.580571,10.059930,0.498048
1703098105824143616,1.561533,10.055075,0.497537
1703098105832529920,1.545572,10.047138,0.497277
1703098105840765696,1.541730,10.113517,0.497449
1703098105849185536,1.557908,10.120552,0.497377
1703098105857471232,1.529814,10.113645,0.497221
1703098105866012160,1.550198,10.082296,0.496381
1703098105874086144,1.600915,10.086630,0.497391
1703098105882547712,1.599601,10.097961,0.496536
1703098105890776832,1.582319,10.091014,0.497752
1703098105899325696,1.565163,10.055597,0.499026
1703098105907518464,1.566834,10.081735,0.495848
1703098105915874048,1.584509,10.097731,0.499061
1703098105924105728,1.573356,10.131889,0.497121
1703098105932602624,1.576962,10.138475,0.497331
1703098105940761856,1.579562,10.139949,0.498080
1703098105949233920,1.610511,10.053643,0.494893
1703098105957465344,1.668560,10.089467,0.496273
1703098105965884928,1.592844,10.138430,0.497608
1703098105974176256,1.646250,10.122242,0.495784
1703098105982490624,1.563093,10.142670,0.496656
1703098105999129600,1.583018,10.142970,0.495427
1703098106007559168,1.589336,10.137944,0.497467
1703098106015852800,1.605664,10.177588,0.498106
1703098106024295424,1.627412,10.182605,0.497698
1703098106032534784,1.610168,10.136943,0.496922
1703098106040947200,1.657744,10.150497,0.497513
1703098106049130752,1.624537,10.124902,0.497238
1703098106057681408,1.624658,10.177967,0.496470
1703098106065779968,1.323615,10.126506,0.498487
1703098106082439680,0.668523,10.221297,0.498233
1703098106090926080,0.401395,10.207604,0.498509
1703098106099087616,0.201961,10.198693,0.499473
1703098106107620352,0.009134,10.233469,0.499786
1703098106115787008,-0.173407,10.202089,0.500273
1703098106124253696,-0.225048,10.194342,0.501089
1703098106132443392,-0.317456,10.192974,0.503337
1703098106140909568,-0.354562,10.272991,0.502895
1703098106149093888,-0.481763,10.258636,0.506873
1703098106157538816,-0.460463,10.278236,0.507643
1703098106165811968,-0.484709,10.305284,0.507855
1703098106174165760,-0.519025,10.304725,0.509059
1703098106190851072,-0.450609,10.340809,0.513664
1703098106207568896,-0.484520,10.352741,0.515493
1703098106215972352,1.249720,10.353230,0.514309
1703098106224113152,1.680453,10.369920,0.518088
1703098106232707584,1.887391,10.382104,0.518349
1703098106240823808,2.000822,10.359782,0.517797
1703098106249215744,2.061361,10.423684,0.518978
1703098106257464832,2.107687,10.344716,0.515957
1703098106265902592,2.058111,10.366521,0.513521
1703098106274089984,1.996414,10.392123,0.512813
1703098106282526208,1.993550,10.384996,0.512520
1703098106290746624,2.031173,10.367380,0.510962
1703098106299290880,2.016969,10.356528,0.509153
1703098106307434240,2.034494,10.377874,0.508210
1703098106315828992,2.048467,10.372420,0.507299
1703098106324189696,2.012916,10.410012,0.505134
1703098106332496896,1.988365,10.372825,0.502890
1703098106340900608,1.922350,10.377306,0.502099
1703098106349126144,1.976568,10.366330,0.503443
1703098106357617664,1.868800,10.397241,0.501805
1703098106365789696,1.868214,10.423388,0.500150
1703098106374319360,1.821316,10.455213,0.498966
1703098106382535680,1.771669,10.436458,0.496657
1703098106391059968,1.763485,10.430423,0.498107
1703098106407769600,1.561187,10.407962,0.496219
1703098106424388352,1.418668,10.469452,0.497334
1703098106440920832,1.251379,10.453380,0.496107
1703098106457528064,1.069582,10.414646,0.497510
1703098106465775616,0.987902,10.450762,0.498628
1703098106474253824,0.885750,10.474684,0.497403
1703098106482467840,0.806417,10.493337,0.498658
1703098106490938368,0.669618,10.464415,0.499331
1703098106499182080,0.581294,10.483236,0.499301
1703098106507546112,0.593920,10.487717,0.501499
1703098106515917312,0.483596,10.514543,0.501651
1703098106532583680,0.274546,10.466644,0.503574
1703098106540871424,0.203730,10.538386,0.506647
1703098106549225472,0.107370,10.484625,0.506972
1703098106557560576,0.075161,10.521097,0.506679
1703098106566021120,-0.028222,10.512552,0.509397
1703098106574100480,-0.129624,10.510609,0.509968
1703098106582435584,-0.202068,10.549174,0.510685
1703098106590727424,-0.266742,10.558301,0.512130
1703098106599309568,-0.284677,10.548893,0.511739
1703098106607454208,-0.411046,10.531448,0.513513
1703098106615878144,-0.442047,10.550742,0.516275
1703098106624070144,-0.510601,10.619010,0.515773
1703098106632604672,-0.603593,10.609288,0.518180
1703098106640937984,-0.694999,10.631399,0.518712
1703098106649283840,-0.710604,10.547666,0.517269
1703098106657558784,-0.720652,10.629521,0.522284
1703098106665847808,-0.750986,10.651741,0.520368
1703098106674232320,-0.800871,10.610632,0.522542
1703098106682535168,-0.907352,10.599442,0.524282
1703098106691036160,-0.941128,10.665252,0.524932
1703098106699133952,-0.950677,10.649592,0.524506
1703098106707691776,-1.036826,10.716527,0.524716
1703098106715804416,-1.043867,10.688187,0.526828
1703098106724344320,-1.101516,10.699884,0.528049
1703098106732473600,-1.103586,10.705823,0.526876
1703098106740970496,-1.202377,10.713805,0.530186
1703098106749134336,-1.131079,10.675124,0.530353
1703098106757668608,-1.197988,10.731510,0.528836
1703098106765796352,-1.183344,10.749651,0.530965
1703098106774269440,-1.201230,10.762433,0.529989
1703098106782476544,-1.167788,10.759248,0.531502
1703098106790933504,-1.217569,10.775770,0.531754
1703098106799129600,-1.196136,10.815087,0.531371
1703098106815834624,-1.208740,10.874262,0.533391
1703098106832656384,-1.136542,10.870554,0.534553
1703098106840917248,-1.103127,10.870779,0.534983
1703098106849272832,-1.066216,10.835161,0.534912
1703098106857554688,-1.035598,10.935181,0.534313
1703098106866034176,-0.981254,10.918874,0.535011
1703098106874146560,-0.932640,10.924230,0.533198
1703098106890849536,-0.811869,10.968550,0.533598
1703098106899286528,-0.756124,10.945486,0.534967
1703098106907560192,-0.669608,10.947510,0.533114
1703098106915929600,-0.614689,10.965100,0.534896
1703098106924139264,-0.606097,10.990695,0.536365
1703098106932644096,-0.491976,10.939521,0.535138
1703098106940812032,-0.456749,10.963741,0.535959
1703098106949243392,-0.431607,10.938399,0.535347
1703098106957463040,-0.315485,10.944369,0.532708
1703098106965892352,-0.265395,10.970557,0.535587
1703098106974117376,-0.213869,11.021823,0.533627
1703098106982594304,-0.145339,10.965418,0.534808
1703098106990862592,-0.144817,10.980294,0.535363
1703098106999250944,-0.132130,10.985617,0.534146
1703098107007570944,0.013555,10.963952,0.532438
1703098107015867392,0.033910,10.989217,0.533094
1703098107032632064,0.063710,10.969715,0.532614
1703098107040947712,0.130604,10.968315,0.530922
1703098107049285888,0.143499,10.955814,0.530944
1703098107065824256,0.293048,10.958255,0.529815
1703098107074384128,0.022673,10.939784,0.531261
1703098107082502656,-0.136734,10.992755,0.530431
1703098107091001856,-0.323122,10.916331,0.528825
1703098107099133952,-0.339951,10.930025,0.528009
